cell ID:  0 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.36
cell ID:  1 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.92
cell ID:  2 	 	 real cell type: E5Sulf1 	 	 predicted cell type: E6Tle4 	 	 probability: 0.4
cell ID:  3 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.92
cell ID:  4 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.94
cell ID:  5 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.68
cell ID:  6 	 	 real cell type: E5Sulf1 	 	 predicted cell type: E6Tle4 	 	 probability: 0.76
cell ID:  7 	 	 real cell type: E3Rmst 	 	 predicted cell type: E3Rorb 	 	 probability: 0.79
cell ID:  8 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.93
cell ID:  9 	 	 real cell type: E5Parm1 	 	 predicted cell type: E5Parm1 	 	 probability: 0.92
cell ID:  10 	 	 real cell type: InS 	 	 predicted cell type: InP 	 	 probability: 0.79
cell ID:  11 	 	 real cell type: InV 	 	 predicted cell type: InV 	 	 probability: 0.24
cell ID:  12 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.91
cell ID:  13 	 	 real cell type: InN 	 	 predicted cell type: InN 	 	 probability: 0.58
cell ID:  14 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.92
cell ID:  15 	 	 real cell type: Ast 	 	 predicted cell type: Ast 	 	 probability: 0.95
cell ID:  16 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.94
cell ID:  17 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.92
cell ID:  18 	 	 real cell type: Ast 	 	 predicted cell type: Ast 	 	 probability: 0.94
cell ID:  19 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.93
cell ID:  20 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.92
cell ID:  21 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.91
cell ID:  22 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.88
cell ID:  23 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.91
cell ID:  24 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.93
cell ID:  25 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.89
cell ID:  26 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.91
cell ID:  27 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.88
cell ID:  28 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.92
cell ID:  29 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.61
cell ID:  30 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.91
cell ID:  31 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.85
cell ID:  32 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.93
cell ID:  33 	 	 real cell type: Clau 	 	 predicted cell type: Clau 	 	 probability: 0.88
cell ID:  34 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.92
cell ID:  35 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.93
cell ID:  36 	 	 real cell type: InP 	 	 predicted cell type: InP 	 	 probability: 0.93
cell ID:  37 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.93
cell ID:  38 	 	 real cell type: E3Rmst 	 	 predicted cell type: E3Rmst 	 	 probability: 0.82
cell ID:  39 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.92
cell ID:  40 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.92
cell ID:  41 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E6Tle4 	 	 probability: 0.92
cell ID:  42 	 	 real cell type: E5Tshz2 	 	 predicted cell type: E5Tshz2 	 	 probability: 0.98
cell ID:  43 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.93
cell ID:  44 	 	 real cell type: E3Rmst 	 	 predicted cell type: E3Rmst 	 	 probability: 0.34
cell ID:  45 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.93
cell ID:  46 	 	 real cell type: Endo 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.38
cell ID:  47 	 	 real cell type: E4Thsd7a 	 	 predicted cell type: E3Rorb 	 	 probability: 0.88
cell ID:  48 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E4Il1rapl2 	 	 probability: 0.83
cell ID:  49 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.92
cell ID:  50 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.94
cell ID:  51 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rmst 	 	 probability: 0.85
cell ID:  52 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.58
cell ID:  53 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.88
cell ID:  54 	 	 real cell type: E5Galnt14 	 	 predicted cell type: E5Galnt14 	 	 probability: 0.91
cell ID:  55 	 	 real cell type: E3Rmst 	 	 predicted cell type: E3Rorb 	 	 probability: 0.88
cell ID:  56 	 	 real cell type: InS 	 	 predicted cell type: InS 	 	 probability: 0.9
cell ID:  57 	 	 real cell type: E4Thsd7a 	 	 predicted cell type: E3Rorb 	 	 probability: 0.89
cell ID:  58 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.88
cell ID:  59 	 	 real cell type: E5Parm1 	 	 predicted cell type: E5Parm1 	 	 probability: 0.9
cell ID:  60 	 	 real cell type: InV 	 	 predicted cell type: InV 	 	 probability: 0.98
cell ID:  61 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.91
cell ID:  62 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.88
cell ID:  63 	 	 real cell type: E4Il1rapl2 	 	 predicted cell type: E4Thsd7a 	 	 probability: 0.62
cell ID:  64 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.93
cell ID:  65 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.55
cell ID:  66 	 	 real cell type: InP 	 	 predicted cell type: InP 	 	 probability: 0.94
cell ID:  67 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.8
cell ID:  68 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.94
cell ID:  69 	 	 real cell type: E3Rorb 	 	 predicted cell type: E3Rorb 	 	 probability: 0.85
cell ID:  70 	 	 real cell type: Mic 	 	 predicted cell type: Ast 	 	 probability: 0.87
cell ID:  71 	 	 real cell type: E4Thsd7a 	 	 predicted cell type: E4Thsd7a 	 	 probability: 0.86
cell ID:  72 	 	 real cell type: E6Tle4 	 	 predicted cell type: E6Tle4 	 	 probability: 0.92
cell ID:  73 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.93
cell ID:  74 	 	 real cell type: E2Rasgrf2 	 	 predicted cell type: E2Rasgrf2 	 	 probability: 0.92
