,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
cell_0,1.6483378,1.5717359,-0.95444316,0.27653867,-0.9330659,-0.46279934,1.5527667,0.21308456,1.8562193,0.46943286,1.7090002,0.6334148,-0.91731495,-0.18351692,0.80910826,1.3551829,-0.9326709,1.2747798,1.293211,-0.87570846,-1.5835533,1.300965,1.3150531,0.42699128,0.35582405,0.9997538,-1.723422,0.10675796,1.5462873,-1.3883191,-0.7577913,-0.12596247,-0.4252301,-0.7119589,0.021863073,0.1246714,1.0425125,0.8130367,1.7593604,1.8258364,-0.5668489,-1.0943221,1.0622061,1.5258292,-0.98151076,-1.9209921,0.6821066,-1.2969687,1.392862,0.3702116,0.6008104,0.69376445,1.0527982,1.3330591,-1.0782001,0.34733808,-0.7236451,-1.222669,-0.72844464,-0.43061584,0.6680654,-1.0896382,-0.9900142,1.5389448
cell_1,1.2464602,-0.93097615,-1.0784454,1.5345297,1.5411128,-1.0070047,-0.9927038,1.8920342,1.6773359,-2.1489155,-0.8940927,-0.16580325,-1.4931014,-1.1922953,-1.2842529,-0.75974345,0.86356163,2.2798185,-0.5775956,-0.45602348,0.8303077,0.7161586,-0.23670912,-1.4040817,-0.798849,-1.8894844,0.46033084,1.7791908,1.5150452,-2.1875572,-0.99314046,1.0722926,1.4515222,1.6172317,-1.0740848,-1.1591151,1.2508415,-0.8117865,-1.0943736,2.5723271,-0.93633604,-1.1104102,0.82050306,1.9167311,-1.4226953,1.322625,2.1379743,-1.042815,2.3026333,0.73040056,-1.7993681,0.93523407,-0.49526024,-0.48438233,1.3749954,-0.29174957,1.0562885,-0.05032611,0.1997023,1.1641393,-1.9011896,-1.0723886,-1.7506781,0.9877113
cell_2,1.1441479,0.58041114,1.3422271,-1.0149909,-1.0517731,-0.75660187,1.2478011,1.6305286,1.9014767,-1.2904952,-0.42599013,1.4254476,-1.4012494,1.1463385,-1.4277083,-0.7574196,-1.145153,1.3440399,-0.26618108,-1.6119397,0.81067574,-1.5604112,1.622804,0.9849238,-1.9087989,-1.1304818,-1.9822114,1.7895632,-0.9680758,0.030057006,-1.205133,-1.0530301,1.1660851,-0.9311615,-1.3219967,-1.3394142,-1.2834716,-0.15624195,-0.7775931,1.7250601,-0.38960105,0.77497286,1.9013333,1.2149433,0.58760655,-2.3415368,1.1246159,0.9369925,-0.87775356,1.7080538,-1.6726401,0.662861,-1.946032,-0.058243506,-1.4996314,1.1004883,0.94656765,0.57323056,-0.46005076,1.7285255,1.2040666,0.48008025,-0.65706146,-1.3453202
cell_3,1.4553139,-1.4242767,-1.7496233,1.7030605,-1.3221477,1.817415,-0.65805185,1.4051595,-0.5890701,-0.074471325,2.4651604,-1.1141706,-1.5807481,-0.23863488,-1.0114902,-0.18299165,-2.2813358,-1.213578,1.5384599,0.86499053,0.37184298,-0.13209647,1.896054,0.6444636,0.19027074,-1.3987556,1.56083,-0.016104281,0.5227199,-1.9976428,-0.15839043,0.061584443,2.9714909,1.6582977,0.8965887,-2.7115133,0.71929497,0.6591374,0.72681427,1.3974081,1.7999262,-1.040234,0.8719543,-0.10727362,1.3960866,-0.08885195,-0.6243016,2.2716508,2.1785822,1.2156934,-1.056503,-1.8151985,1.106371,-1.3284069,1.2562419,-0.4480945,2.3302553,-0.5954975,2.4670336,0.5129867,-1.0452877,0.6843727,1.354917,-2.535299
cell_4,1.4501987,0.24724573,-0.8522461,0.39619866,-0.9351282,-0.23003054,1.7315849,-0.68161964,1.3052921,0.5029191,1.6504376,0.710513,-0.7746773,1.3274095,1.2658104,1.1853479,-1.7886419,1.1694797,0.8787383,-0.7407615,-1.4684157,0.7013419,1.2375396,0.9024437,0.33284616,1.7025783,-0.9547363,0.25410002,1.2826587,-1.1536446,-0.4728052,-0.73902684,-0.55055666,-0.4898287,0.66626996,0.6647562,0.8727576,1.1196412,1.534297,1.8130563,-0.85017645,-0.89241755,1.2850146,2.099062,-1.5977573,-1.6373234,1.0270375,-0.706991,1.5557866,0.3677792,-0.06799887,0.42332676,0.4371893,1.0359308,-0.6318351,0.87626743,-1.1342516,-1.4580678,-0.5049517,-0.70408696,0.5228452,-1.1965563,-1.2995741,1.162547
cell_5,-0.6244146,2.1803122,1.6970217,-2.2025845,-0.31011122,0.22233036,1.2347703,0.73428565,1.318814,-2.991608,1.5796033,-1.6410575,-1.5765872,-0.6814248,-1.1498697,0.8971756,2.2795944,0.9950521,-0.5371641,-1.5736843,-0.36141118,-1.5377221,-0.8362226,-1.7677631,-1.7074798,-0.16607642,0.8712851,-1.1874876,1.553609,0.7101476,-0.25540936,0.43007556,0.92240655,0.933446,1.2167513,0.68393886,0.58490586,1.8676456,1.8961931,1.129855,-1.1764096,1.0775303,1.6948688,0.62879896,1.1839762,1.2120897,-1.8319439,1.7763982,1.6935191,0.42312577,0.9125508,-1.2488487,-0.93646044,0.65083826,0.39713255,-1.4080677,-1.1328647,0.94825435,1.8228436,0.5857811,-1.6516019,-0.79988307,1.1049359,1.6174569
cell_6,2.1291823,-0.20928842,0.8220041,0.54177636,-1.7371285,-0.7832279,1.5226077,2.1113608,1.5058458,0.23044753,1.8681985,-0.6567938,0.5758831,-1.0387049,1.2050385,1.2908487,0.71478283,1.6086802,-0.9029041,0.838855,-1.653165,0.19862424,-0.31652972,-1.3010634,-0.6999055,-1.5006348,-1.6431919,2.445241,-1.1028883,-1.7795007,1.3579079,1.078681,1.8561268,1.1684291,-1.2822249,-1.6770245,-0.5316735,-0.7410152,1.2322271,-0.6525312,-0.9004482,0.65721095,-0.5869496,-0.48748645,-1.1058806,-2.0678542,-0.981665,1.5708315,-0.29714692,1.3748467,-1.5026866,0.94887877,-0.5405165,1.9934587,-1.983782,-1.0015016,-1.1254255,-1.4182129,1.6663082,2.0625083,0.5403468,0.9013633,-1.7860432,-1.9143763
cell_7,-1.9840605,-0.20055306,0.18979043,0.35077104,1.2714422,0.39431107,-0.040510803,-1.5472512,1.1437246,0.00533171,0.88224775,-1.109159,2.125329,-3.0225039,-0.100153446,0.73889256,-2.423731,0.8055184,2.3350375,-2.2897668,-0.42474294,0.033476822,-0.2504247,1.1992472,-2.2955754,-1.6825311,-0.42313078,1.833435,0.9186143,-0.7478951,2.6940608,2.1680353,1.4173636,0.8263685,-0.45306212,0.3274573,-0.22559199,-1.0971072,0.31625763,1.0609946,0.3342332,0.04449013,0.8573402,1.6401863,-2.116915,-0.11970173,-0.1385218,2.0019062,0.46520814,-0.7586299,0.020827562,-2.1955981,0.5079643,-0.6139792,-0.11041772,0.92110616,1.2065197,0.780422,-0.17884035,0.13400748,-2.4378412,0.98501277,1.8175559,-1.210861
cell_8,-0.98601973,-1.0546693,-1.283116,0.5936899,1.4619956,-0.7517016,-1.1933653,-0.53572744,2.3017716,0.6584216,1.1143914,-1.5562514,1.3656363,-1.0611413,-0.9383627,0.9180808,-1.1865219,1.270875,1.618992,-1.58943,0.083779335,-0.809517,1.4830067,0.712298,-1.7471899,-1.0928386,-0.7493067,2.396664,1.5013211,0.24293202,1.6601593,1.5104578,0.84235287,-0.50295466,-1.1251267,0.60722286,0.95813304,0.53876233,-0.8826041,-0.6081543,-0.6924912,1.1749337,1.0260234,2.0179927,-1.5689749,0.85315025,-0.8930779,1.2005229,-0.44374496,-0.4188525,0.56283617,-1.7687916,0.67074716,0.6818559,-1.2744794,-0.08736777,0.64102155,1.2509539,-0.49941403,-0.42010903,-1.7761501,0.49885494,1.0619763,-0.8270015
cell_9,0.9809891,0.07214141,-1.03946,1.0479878,-0.77214015,-0.5789261,1.4826273,-0.24931538,1.8592125,0.45641273,2.009072,0.98200405,-0.85132873,0.93625534,0.9088166,0.471564,-1.5887147,1.9355648,1.0346205,0.854123,-1.7915634,1.0878019,2.0702877,-0.20914054,0.61861205,1.3811855,-1.002944,0.0071223862,1.2297548,-1.3010005,-0.54157084,-0.22120178,-0.4521123,-0.6956347,0.70583093,0.14018762,1.4136709,1.1700704,1.0324516,1.5762634,-1.0734202,-0.63256264,1.4420058,2.1586256,-1.4760427,-2.2167969,0.6633674,-1.0084093,1.800596,0.31443796,-0.15986606,1.0298876,0.8489239,1.2455481,-0.603027,0.38403097,-0.91078377,-1.5732312,-0.3515966,-0.5568769,0.93576777,-1.6532323,-1.4521708,0.8672291
