,label
cell_0,E3Rorb
cell_1,E5Parm1
cell_2,E4Il1rapl2
cell_3,InP
cell_4,E2Rasgrf2
cell_5,Clau
cell_6,E4Thsd7a
cell_7,E5Sulf1
cell_8,E6Tle4
cell_9,E2Rasgrf2
cell_10,E3Rmst
cell_11,E2Rasgrf2
cell_12,E2Rasgrf2
cell_13,E5Sulf1
cell_14,E5Galnt14
cell_15,E2Rasgrf2
cell_16,InS
cell_17,E2Rasgrf2
cell_18,OliM
cell_19,E4Thsd7a
cell_20,E3Rorb
cell_21,E6Tle4
cell_22,E4Thsd7a
cell_23,InP
cell_24,E2Rasgrf2
cell_25,E4Thsd7a
cell_26,E5Galnt14
cell_27,E2Rasgrf2
cell_28,E2Rasgrf2
cell_29,E5Sulf1
cell_30,E2Rasgrf2
cell_31,E2Rasgrf2
cell_32,E6Tle4
cell_33,E2Rasgrf2
cell_34,E4Thsd7a
cell_35,E3Rorb
cell_36,E3Rorb
cell_37,E4Il1rapl2
cell_38,E2Rasgrf2
cell_39,E2Rasgrf2
cell_40,E4Il1rapl2
cell_41,E6Tle4
cell_42,E3Rmst
cell_43,E4Il1rapl2
cell_44,InP
cell_45,E5Galnt14
cell_46,InP
cell_47,Clau
cell_48,E6Tle4
cell_49,E3Rorb
cell_50,E3Rmst
cell_51,E4Il1rapl2
cell_52,E2Rasgrf2
cell_53,E3Rmst
cell_54,E2Rasgrf2
cell_55,E3Rorb
cell_56,E5Galnt14
cell_57,E2Rasgrf2
cell_58,E2Rasgrf2
cell_59,InP
cell_60,E6Tle4
cell_61,E3Rmst
cell_62,E5Galnt14
cell_63,E6Tle4
cell_64,Clau
cell_65,E5Sulf1
cell_66,E2Rasgrf2
cell_67,E3Rorb
cell_68,E3Rorb
cell_69,E5Parm1
cell_70,E3Rorb
cell_71,InP
cell_72,E2Rasgrf2
cell_73,E3Rorb
cell_74,Mic
cell_75,Clau
cell_76,E6Tle4
cell_77,InS
cell_78,OliM
cell_79,E3Rorb
cell_80,E2Rasgrf2
cell_81,Endo
cell_82,E3Rorb
cell_83,E6Tle4
cell_84,E3Rorb
cell_85,InS
cell_86,E2Rasgrf2
cell_87,E3Rorb
cell_88,E2Rasgrf2
cell_89,E5Galnt14
cell_90,E3Rorb
cell_91,E3Rorb
cell_92,E5Galnt14
cell_93,E5Galnt14
cell_94,Ast
cell_95,E2Rasgrf2
cell_96,Ast
cell_97,E6Tle4
cell_98,InS
cell_99,Ast
cell_100,E6Tle4
